,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
0,"Notion
4.8","Data Scientist, Product","New York, NY","About Us:
We're on a mission to make it possible for every person, team, and company to be able to tailor their software to solve any problem and take on any challenge. Computers may be our most powerful tools, but most of us can't build or modify the software we use on them every day. At Notion, we want to change this with focus, design, and craft.
We've been working on this together since 2016, and have customers like Pixar, Mitsubishi, Figma, Plaid, Match Group, and thousands more on this journey with us. Today, we're growing fast and excited for new teammates to join us who are the best at what they do. We're passionate about building a company as diverse and creative as the millions of people Notion reaches worldwide.

Notion is an in person company, and currently requires its employees to come to the office for two Anchor Days (Mondays & Thursdays) and requests that employees spend the majority of their week in the office (including a third day).


Show More
Report",#N/A,201 to 500 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2016,Unknown / Non-Applicable
1,NLB Technology Services,Data Scientist,Remote,"Job Description-
Design, develop, optimize, and maintain Cloud Data Platform (Azure) pipelines that adhere to ETL principles and business goals
Experience with dimensional modelling, ETL, reporting tools, data governance, data warehousing, structured and unstructured data to solve complex data problems
Experience working on large production SAP/NoSQL clusters on premise or using Cloud services
Technical design and development activities for implementation of large-scale data solutions in Snowflake to support multiple use cases as part of modern and unified data platform.
Experience Developing and maintain conceptual, logical, and physical data models, implement of RDBMS, operational data store (ODS), data marts, and data lakes on target platforms in cloud
Show More
Report",#N/A,Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
2,"Donald Danforth Plant Science Center
4.3",Data Scientist I,"Saint Louis, MO","The laboratory of Dr. Christopher Topp at the Donald Danforth Plant Science Center is a plant root phenomics lab, innovating uses of 3D imaging modalities to investigate roots and their environment. We are seeking someone interested in plant biology and data analysis to help process and measure digitized plant samples using both external and internal analysis tools. Many of our projects involve high-throughput phenotyping. As such, a desirable candidate would be capable of writing reusable, efficient, and well-commented code. The successful candidate will be organized, independent, creative, have strong communication skills, desire to learn, and work with outstanding collaborative capability.

Much of the data in our lab are 3D reconstructed volumes from our large-format X-ray Tomography (XRT) system and X-ray microscope (XRM) system, but we handle a variety of other types of data depending on the project (e.g. genomics data, PET images, hyperspectral images). Given the size and variety of data in the lab, this job involves maintaining a robust computational infrastructure–including dedicated workstations, storage and processing servers, virtual machines, internal code bases, third-party software licenses, VR systems, databases, and data management. The role allows for creativity and autonomy in the design and development of tools and procedures.








Show More
Report",#N/A,Unknown,Non-profit Organisation,Management & Consulting,Research & Development,1998,Unknown / Non-Applicable
3,Tek minded INC,Data Scientist,Remote,"Hi,
Hope your doing well,
Please find the below requirement and let me know your interest,
Job Title:Data Scientist
Job Location:Bellevue,Wash., Atlanta, Ga. or Overland park, Kansas)
Job Duration:Long Term contract
Job Description:
5+ years of experience in developing scalable distributed machine learning systems
Should be able to work with a distributed multi-vendor team in a multi-cultural environment across multiple geographies taking care of a complex web application
Show More
Report",#N/A,Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
4,"Altak Group
2.0",Sr. Data Scientist,Remote,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve the client's systems. In this role, you should be highly analytical with a knack for analysis, math, and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine learning and research.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake to preprocess of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modeling
Show More
Report",#N/A,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
5,"American Unit
4.3",Data Scientist,"Houston, TX","IMMEDIATE HIRING
Contract
Job Title : Data Scientist with Oil & Gas Hydraulics exp
Location : Houston, TX (ONSITE) - Locals or Nearby commutable resources
Visas Only: USC / H1B
Read First
Industry : Current OIL & GAS Industry Experience Required
For Submission we require I94 with Passport Number

Show More
Report",#N/A,201 to 500 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2003,$25 to $50 million (USD)
6,Quest America,Data Scientist,Remote,"Requirements:
A higher-level qualification (Master's or Doctorate) in a quantitative field of science or engineering (such as Computer Science, Statistics, Mathematics, Operations Research, etc.) accompanied by at least 2 years of practical experience in a related industry.
Ability to effectively use programming languages for data querying (such as SQL, Hive, Pig, and Spark), data preprocessing (including Unix and Python), and statistical analysis (such as Python and R).
Familiarity with a range of Machine Learning algorithms and Statistical methods through practical experience.
Demonstrate a strong enthusiasm for working with extensive datasets and possess professional expertise in data mining, statistical analysis, predictive modeling, and data manipulation.
Proven track record in Develop and implement machine learning algorithms and predictive models to solve business problems.
Responsibilities:





Show More
Report",#N/A,51 to 200 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
7,"Machinify
3.7",Data Scientist [ML],California,"Machinify is a revolutionary healthcare software company with a mission to ensure that patients get the right medical treatment, at the right time, at the right price. Our cloud-based Machinify AI platform leverages the latest advances in machine learning, large language models, data analytics, and cloud processing to solve previously intractable problems, transforming healthcare administration and payment operations.
Our team has deployed models that check for anomalies in medical claims, predict the trajectory of care of a particular patient and the next likely treatment and even “read and understand” medical record documents using state-of-the-art NLP and computer vision techniques to assist clinicians. There are many more such problems to be solved. So if you are looking for a place where you can apply your expertise in AI/ML to solve real problems and make a difference in an industry that impacts millions of lives while accelerating your career, you’ll love Machinify. We are seeking a Sr Machine Learning Scientist to join our team.
What you’ll do:
Show More
Report",#N/A,51 to 200 Employees,Company - Private,Information Technology,Software Development,2016,Unknown / Non-Applicable
8,Humbi Analytics LLC,Healthcare Data Scientist,Remote,"Humbi Analytics LLC is looking for highly analytical individuals who are skilled in utilizing various data analytical tools to manipulate data and derive meaningful business insights for client consumption.
Our clients are health plans, drug manufacturers and healthcare providers (physician practices, hospitals and population health management organizations).
The duties of this position include: organizing and managing large and varied data sets, analyzing healthcare data to optimize business operations and communicating the findings through dissemination of data visualization exhibits and tabular reports.
Healthcare Data Analyst Responsibilities:
· Compiling and organizing healthcare data.
· Analyzing data to assist in delivering optimal healthcare management and decision making.
· Using healthcare data to achieve administrative needs and goals.
· Investigating data to find patterns and trends.
· Understanding healthcare business operations.
· Utilizing different data sources for analyses.
· Converting data into usable information that is easy to understand.
· Developing reports and presentations.
· Communicating analytic insights to management.








Show More
Report",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9,"VirginPulse
3.4",Data Scientist I,Remote,"Overview:
Now is the time to join us!
At Virgin Pulse we value and celebrate diversity and we are committed to creating an inclusive environment for all employees. We believe in creating teams made up of individuals with various backgrounds, experiences, and perspectives. Why? Because diversity inspires innovation, collaboration, and challenges us to produce better solutions. But more than this, diversity is our strength, and a catalyst in our ability to #changelivesforgood.
Responsibilities:
Who are you?
You are a Data Scientist who will hit the ground running to support the organization's efforts to drive personalization and targeted intervention in the health engagement SaaS industry. You have a solid statistical and modeling skill set and the technical tools to complete projects end to end. This role will be responsible for preparing datasets, building predictive machine learning models, and optimizing model performance. We are looking for someone who is self-directed and thrives working in a fast-paced, collaborative environment in which expectations are high both for the quality and speed of work. A successful candidate will have a hunger for continuous learning, a desire to grow and lead, and strong interpersonal relationship skills.




Qualifications:


Show More
Report",#N/A,1001 to 5000 Employees,Company - Private,Information Technology,Computer Hardware Development,2004,$25 to $50 million (USD)
