,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
0,"MANDO TECHNOLOGIES INC
2.9",Sr Data engineer,Dallas-Fort Worth,"Mando Technologies is specializes in helping organizations make the most of their information assets. From acquiring, organizing, analyzing, and delivering data to closing the loop by integrating intelligence into the operations of the enterprise, Mando Technologies covers the full spectrum of Business Intelligence.
Our data engineers are powering the capability to make decisions using data to improve operations and our customer and employee experience.
This role is a part of the Data Engineering and Analytics team with our Client Technology group. You'll bring your data engineering, collaboration and analytics skills to help cultivate a data driven culture by designing and delivering analytics solutions and making data analytics easier and more effective.
What you'll do:
Be a part of the data privacy and governance team. Work closely with data privacy office, data application teams and product owners to design, implement and support data privacy, governance and analytics solutions that provide insights to make better decisions.

Show More
Report",#N/A,1 to 50 Employees,Company - Private,#N/A,#N/A,1996,$1 to $5 million (USD)
1,Sthavirsoft Inc,AWS Data Engineer,"Trenton, NJ","AWS Data Engineer
Client: State of New Jersey - DOH
Job ID: 708389
Location: Trenton , NJ
Duration: 1+ years (Multiple Year Contract)
Interview mode: Skype
Note: This will be a hybrid office work environment with a 3 day in office requirement
Job Description


Show More
Report",#N/A,Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
2,"IT Engagements,Inc.",Big Data Engineer,"Dallas, TX","Greeting from IT Engagements.
IT Engagements is a global staff augmentation firm providing a wide-range of talent on-demand and total workforce solutions. We have an immediate opening for the below position with one of our premium clients.
Job Title: Big Data Engineer
Location: Minneapolis, MN (Hybrid 3 days onsite) 2nd location Dallas TX.
Duration: 12 Months (Potential FTE)
Required Qualifications
4+ years of Software Engineering experience
Show More
Report",#N/A,1 to 50 Employees,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
3,"Myticas Consulting
3.9",BHJOB15656_20058 - Data Engineer,Arizona,"Myticas's direct client based out of Phoenix, AZ is currently seeking a Data Engineer for a 100% remote contract position.
Pay Rate: Up to $34/hr

Job Description:
A Data Engineer can confidently understand, write, troubleshoot, optimize, and peer review SQL code. They understand business requirements and create code and reporting that exceeds specifications through anticipating underlying needs. They also understand relational database design, table structure, data types, and data models. They are experienced with and confident in development in reporting visualizations in Excel, PowerBI, Tableau, QuickSight, SSRS, or other data products. They can create reporting dashboards and products that inform the business. They easily grasp and retain complex data concepts and are able to explain them to others. Looking for engineers who are driven to innovate, use cutting edge technologies to solve problems and think outside the box.

Show More
Report",#N/A,1 to 50 Employees,Company - Private,Information Technology,Information Technology Support Services,#N/A,Unknown / Non-Applicable
4,Wevision LLC,Big Data Engineer,Remote,"A client within the streaming domain is seeking a Big Data Engineer who will be an exceptional addition to the Big Data Platform team. Data is essential for all our decision-making needs whether it’s related to product design, measuring advertising effectiveness, helping users discover new content or building new businesses in emerging markets. This data is deeply valuable and gives us insights into how we can continue improving our service for our users, advertisers and our content partners. The team is seeking a highly hardworking Data Engineer with a strong technical background and passionate about diving deeper into Big Data to develop state of the art Data Solutions.
Below is the expected technical skills, experiences etc:
Strong programming (Scala/Java) and shell scripting skills
Experience with batch processing technologies like Apache Spark
Ability to explore and analyze datasets using SQL
Show More
Report",#N/A,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
5,INA solution,Sr. SQL Developer / Data Engineer,Remote,"Title : Sr. SQL Developer / Data Engineer
Location : West Coast
Location : Remote- West Coast
Work Auth : US Citizen/GC only
Description:
MUST HAVES -
Data Bricks experience required
ADF experience required
Show More
Report",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6,Kommforcesolutions,SR. Data Engineer,"Dallas, TX","Job title: ETL Data SDET
Location: Dallas, TX (Hybrid)
Client: Rythmos/Southwest Airlines
Minimum 11 Yrs exp and hands on Exp in Python coding along with ETL / Data warehouse development or Testing
AWS Component - S3, Athena, RedShift
Building Git Pipeline using Python code
ETL/ Data Warehouse development OR Strong Testing exp
Hands on SQL PySpark, PySQL, AWS Glue

Show More
Report",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7,zettalogix.Inc,Data Engineer,Remote,"Title: Data Engineer
Experience in Retail merchandising analytics is a must,
Duration: 12 months
Location: Remote
Interview Process:
1*_st_ round – Hirevue Video Call*
2*_nd_ round – Hiring Manager*
Skills Required:
Show More
Report",#N/A,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
8,TekValue IT Solutions,Data Engineer,"Houston, TX","Required Skills:
Experience with Oracle to PYTHON DEV
Experience with API
Strong knowledge on SQL
Experience with NOSQL
Job Type: Contract
Salary: $65.00 - $70.00 per hour
Experience level:

Show More
Report",#N/A,Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
9,"infinity quest
3.9",DATA ENGINEER,"Seattle, WA","At least 3 years of Data Engineer experience is required preferably in a cloud Environment.
You should have at least 4 years of coding experience in python/java/ Scala and open source packages with at least 2 years of experience with Databases(SQL/NOSQL etc).
Experience with large scale Distributed databases like redshift/Snowflake is a big Plus.
You should have Experience with different aspects of data systems including database design, data modeling, performance optimization, SQL etc.
Some Experience with building data pipelines and Orchestration(Airflow ,ADF,glue etc) is required.
Strong communication skills (able to explain concepts to non-technical audiences as well as peers)
Self-starter who is highly organized, communicative, quick learner, and team-oriented
Technology Requirements:
Show More
Report",#N/A,201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,2006,Unknown / Non-Applicable
